from,to,weights
Excreta,User Interface,20
User Interface,Containment,20
Containment,Conveyance,20
Conveyance,Treatment,20
Treatment,End-use / disposal,20
,,
,,
,,
,,
excreta,user interface,
user interface,safely managed,
user interface,not safely managed,
safely managed,containment,
not safely managed,containment,
Containment,safely disposed insitu,
Containment,not safely disposed insitu,
Containment,safely emptied,
Containment,not safely emptied,
safely disposed insitu,safe,
not safely disposed insitu,unsafe,
safely emptied,conveyance,
safely emptied,unsafe,
not safely emptied,conveyance,
not safely emptied,unsafe,
conveyance,unsafe,
conveyance,treatment,
treatment,unsafe,
treatment,enduse / disposal,
enduse / disposal,safe,
enduse / disposal,unsafe,
