from,to,weights
excreta,user interface,100
user interface,safely managed,250
user interface,not safely managed,250
safely managed,containment,50
not safely managed,containment,50
containment,safely disposed insitu,25
containment,not safely disposed insitu,25
containment,safely emptied,25
containment,not safely emptied,25
safely disposed insitu,safe,16.667
not safely disposed insitu,unsafe,16.667
safely emptied,conveyance,16.667
safely emptied,unsafe,16.667
not safely emptied,conveyance,16.667
not safely emptied,unsafe,16.667
conveyance,unsafe,50
conveyance,treatment,50
treatment,unsafe,50
treatment,enduse / disposal,50
enduse / disposal,safe,50
enduse / disposal,unsafe,50
